"","model.name","model.id","firm.id","cdid","id","price","mpd","air","mpg","space","hpwt","trend","share","outshr","y"
"1","AMGREM",23,15,1,129,4.93538294907959,1.8881456043956,0,1.697,1.1502,0.528996865203762,0,0.00105129281900534,0.880106290119383,0.820365578284663
"2","AMHORN",24,15,1,130,5.51562986265984,1.93598901098901,0,1.74,1.278,0.494324423288173,0,0.000670076189333493,0.880106290119383,0.369981057654853
"3","AMJAVL",25,15,1,132,7.10822245525243,1.71679945054945,0,1.543,1.4592,0.467613439556633,0,0.000340527326174336,0.880106290119383,-0.306914988236964
"4","AMMATA",26,15,1,134,6.8390866527833,1.68787087912088,0,1.517,1.6068,0.42654028436019,0,0.000522241886135941,0.880106290119383,0.120720500267717
"5","AMAMBS",18,15,1,136,8.92797554167219,1.50428571428571,0,1.352,1.6458,0.452488687782805,0,0.000442423060771492,0.880106290119383,-0.0451437883207495
"6","BKSKYL",53,19,1,138,7.15266689969688,1.72681318681319,0,1.552,1.6224,0.450870646766169,0,0.00275605915171876,0.880106290119383,1.78414673110284
"7","BKLSAB",45,19,1,141,9.85637060340058,1.72792582417582,0,1.553,1.768,0.564001961745954,0,0.00265059391685164,0.880106290119383,1.74512864974771
"8","BKCNTU",40,19,1,143,11.2687162824129,2.19412087912088,0,1.972,1.768,0.73136754121198,0,0.000487341772151899,0.880106290119383,0.0515553041206793
"9","BKELCT",41,19,1,144,12.1353829490796,2.05615384615385,0,1.848,1.816,0.719013923761698,0,0.00241512688223649,0.880106290119383,1.65209674024672
"10","BKRIVE",50,19,1,145,12.9699508503142,1.97826923076923,0,1.778,1.744,0.728323699421965,0,0.000551397804307397,0.880106290119383,0.175046152861307
"11","CDCALA",86,19,1,146,14.9995804799438,1.91818681318681,0,1.724,1.808,0.732484076433121,0,0.000127197192393065,0.880106290119383,-1.29167178540732
"12","CDDEVI",89,19,1,147,16.0440249243882,1.91262362637363,0,1.719,1.808,0.72938689217759,0,0.00270460135581019,0.880106290119383,1.76529944364882
"13","CDELDR",91,19,1,148,18.2292101095734,2.01832417582418,0,1.814,1.776,0.780748663101604,0,0.000534120223168756,0.880106290119383,0.143210586952628
"14","CDFLTW",92,19,1,149,19.1674817145117,1.89259615384615,0,1.701,1.832,0.716510903426791,0,0.000332863399124123,0.880106290119383,-0.329678170708506
"15","CVVEGA",150,19,1,150,5.16007430710428,2.21192307692308,0,1.988,1.122,0.419384902143523,0,0.00400493430919671,0.880106290119383,2.15787209348169
"16","CVNOVA",146,19,1,151,5.93785208488206,1.80247252747253,0,1.62,1.387,0.487231182795699,0,0.00353280040794289,0.880106290119383,2.03243578842751
"17","CVCHEV",135,19,1,153,6.60945702315367,1.68230769230769,0,1.512,1.5352,0.451713395638629,0,0.00502996580478733,0.880106290119383,2.38575810112949
"18","CVCAMA",130,19,1,158,7.21192615895614,1.62,0,1.456,1.41,0.468648998060763,0,0.00181179134921111,0.880106290119383,1.36466096684255
"19","CVMNTC",143,19,1,160,8.43414838117836,1.60442307692308,0,1.442,1.5732,0.702408256880734,0,0.00218649889015538,0.880106290119383,1.55264649957509
"20","CVBISC",129,19,1,161,7.64402492438824,1.4175,0,1.274,1.736,0.388531618435155,0,0.000380301757753914,0.880106290119383,-0.196445326745408
"21","CVBELA",128,19,1,163,7.98229652932651,1.4175,0,1.274,1.736,0.388531618435155,0,0.000731687563741076,0.880106290119383,0.457943233666876
"22","CVIMPA",140,19,1,165,8.37241998611663,1.40637362637363,0,1.264,1.736,0.38563829787234,0,0.00865848281240626,0.880106290119383,2.92888442764764
"23","CVCAPR",131,19,1,167,10.2069878873512,1.46311813186813,0,1.315,1.736,0.631188118811881,0,0.00208878756974024,0.880106290119383,1.50692870276954
"24","CVCORV",139,19,1,169,13.6613088750055,1.87256868131868,0,1.683,1.2627,0.843222985633979,0,0.000357999880016798,0.880106290119383,-0.25687771243614
"25","CRNEWP",121,16,1,170,10.3452594922895,1.52876373626374,0,1.374,1.8,0.659314313114361,0,0.00103780970664107,0.880106290119383,0.807457356295838
